"sku","website_id","name","cost","price","msrp","special_price","special_from_date","special_to_date","tier_price:ALL GROUPS","tier_price:NOT LOGGED IN","tier_price:General","tier_price:Wholesale","tier_price:Retailer"
"24-MB01",0,"Joust Duffle Bag",50,110,0,108,"2014-07-28 00:00:00","2019-10-28 00:00:00","1=30.00;80=10.00;200=-2.0000","100=10%;200=80%",,"1=25.00","1=30.00"
"24-MB02",0,"Fusion Backpack",0,50,0,0,,,,,,,
"24-MB03",0,"Crown Summit Backpack",0,38,0,0,,,,,,,
"24-MB04",0,"Strive Shoulder Pack",0,32,0,32,"2019-06-09 00:00:00",,,,,,
"24-MB05",0,"Wayfarer Messenger Bag",0,45,0,0,,,,,,,
"24-MB06",0,"Rival Field Messenger",0,45,0,0,,,,,,,
"24-MG01",0,"Endurance Watch",,49,,,,,,,,,
"24-MG02",0,"Dash Digital Watch",,92,,,,,,,,,
"24-MG03",0,"Summit Watch",,54,,,,,,,,,
"24-MG04",0,"Aim Analog Watch",,45,,,,,,,,,
"24-MG05",0,"Cruise Dual Analog Watch",,55,,,,,,,,,
"24-UB02",0,"Impulse Duffle",0,74,0,0,,,,,,,
"24-UG01",0,"Quest Lumaflex&trade; Band",,19,,,,,,,,,
"24-UG02",0,"Pursuit Lumaflex&trade; Tone Band",,16,,,,,,,,,
"24-UG03",0,"Harmony Lumaflex&trade; Strength Band Kit ",,22,,,,,,,,,
"24-UG04",0,"Zing Jump Rope",,12,,,,,,,,,
"24-UG05",0,"Go-Get'r Pushup Grips",,19,,,,,,,,,
"24-UG06",0,"Affirm Water Bottle ",,7,,,,,,,,,
"24-UG07",0,"Dual Handle Cardio Ball",,12,,12,"2019-06-09 09:04:02",,,,,,
"24-WB01",0,"Voyage Yoga Bag",40,70,0,23,"2013-03-19 00:00:00","2013-09-28 00:00:00","1=25.00;100=55.00;200=60.00",,,"100=70.00","10=80.00;20=70.00"
"24-WB02",0,"Compete Track Tote",0,120,0,0,,,"80=80.00",,,"70=90.00","60=100.00"
"24-WB03",0,"Driven Backpack",0,36,0,0,,,,,,,
"24-WB04",0,"Push It Messenger Bag",0,45,0,0,,,,,"1=40.00",,
"24-WB05",0,"Savvy Shoulder Tote",0,32,0,24,"2019-06-09 00:00:00",,,,,,
"24-WB06",0,"Endeavor Daytrip Backpack",0,33,0,33,"2019-06-09 00:00:00",,,,,,
"24-WB07",0,"Overnight Duffle",0,50,0,0,,,,,,,
"24-WG01",0,"Bolo Sport Watch",,49,,49,"2019-06-09 09:04:05",,,,,,
"24-WG02",0,"Didi Sport Watch",,92,,,,,,,,,
"24-WG03",0,"Clamber Watch",,54,,,,,,,,,
"24-WG081-blue",0,"Sprite Stasis Ball 55 cm",,23,,,,,,,,,
"24-WG081-gray",0,"Sprite Stasis Ball 55 cm",,23,,,,,,,,,
"24-WG081-pink",0,"Sprite Stasis Ball 55 cm",,23,,,,,,,,,
"24-WG082-blue",0,"Sprite Stasis Ball 65 cm",,27,,,,,,,,,
"24-WG082-gray",0,"Sprite Stasis Ball 65 cm",,27,,,,,,,,,
"24-WG082-pink",0,"Sprite Stasis Ball 65 cm",,27,,,,,,,,,
"24-WG083-blue",0,"Sprite Stasis Ball 75 cm",,32,,,,,,,,,
"24-WG083-gray",0,"Sprite Stasis Ball 75 cm",,32,,,,,,,,,
"24-WG083-pink",0,"Sprite Stasis Ball 75 cm",,32,,,,,,,,,
"24-WG084",0,"Sprite Foam Yoga Brick",,5,,,,,,,,,
"24-WG085",0,"Sprite Yoga Strap 6 foot",,14,,,,,,,,,
"24-WG085_Group",0,"Set of Sprite Yoga Straps",,,,,,,,,,,
"24-WG086",0,"Sprite Yoga Strap 8 foot",,17,,,,,,,,,
"24-WG087",0,"Sprite Yoga Strap 10 foot",,21,,,,,,,,,
"24-WG088",0,"Sprite Foam Roller",,19,,,,,,,,,
"24-WG09",0,"Luma Analog Watch",,43,,43,"2019-06-09 09:04:05",,,,,,
"240-LV04",0,"Beginner's Yoga",,10,,,,,,,,,
"240-LV05",0,"LifeLong Fitness IV",2,11,0,,,,,,,,
"240-LV06",0,"Yoga Adventure",,12,,,,,,,,,
"240-LV07",0,"Solo Power Circuit",,13,,,,,,,,,
"240-LV08",0,"Advanced Pilates & Yoga (Strength)",,14,,,,,,,,,
"240-LV09",0,"Luma Yoga For Life",6,10,0,,,,,,,,
"MH01-L-Black",0,"Chaz Kangeroo Hoodie-L-Black",,52,,,,,,,,,
"MH01-L-Gray",0,"Chaz Kangeroo Hoodie-L-Gray",,52,,,,,,,,,
"MH01-L-Orange",0,"Chaz Kangeroo Hoodie-L-Orange",,52,,,,,,,,,
"MH01-M-Black",0,"Chaz Kangeroo Hoodie-M-Black",,52,,,,,,,,,
"MH01-M-Gray",0,"Chaz Kangeroo Hoodie-M-Gray",,52,,,,,,,,,
"MH01-M-Orange",0,"Chaz Kangeroo Hoodie-M-Orange",,52,,,,,,,,,
"MH01-S-Black",0,"Chaz Kangeroo Hoodie-S-Black",,52,,,,,,,,,
"MH01-S-Gray",0,"Chaz Kangeroo Hoodie-S-Gray",,52,,,,,,,,,
"MH01-S-Orange",0,"Chaz Kangeroo Hoodie-S-Orange",,52,,,,,,,,,
"MH01-XL-Black",0,"Chaz Kangeroo Hoodie-XL-Black",,52,,,,,,,,,
"MH01-XL-Gray",0,"Chaz Kangeroo Hoodie-XL-Gray",,52,,,,,,,,,
"MH01-XL-Orange",0,"Chaz Kangeroo Hoodie-XL-Orange",,52,,,,,,,,,
"MH01-XS-Black",0,"Chaz Kangeroo Hoodie-XS-Black",,52,,,,,,,,,
"MH01-XS-Gray",0,"Chaz Kangeroo Hoodie-XS-Gray",,52,,,,,,,,,
"MH01-XS-Orange",0,"Chaz Kangeroo Hoodie-XS-Orange",,52,,,,,,,,,
"MH02-L-Black",0,"Teton Pullover Hoodie-L-Black",,70,,,,,,,,,
"MH02-L-Purple",0,"Teton Pullover Hoodie-L-Purple",,70,,,,,,,,,
"MH02-L-Red",0,"Teton Pullover Hoodie-L-Red",,70,,,,,,,,,
"MH02-M-Black",0,"Teton Pullover Hoodie-M-Black",,70,,,,,,,,,
"MH02-M-Purple",0,"Teton Pullover Hoodie-M-Purple",,70,,,,,,,,,
"MH02-M-Red",0,"Teton Pullover Hoodie-M-Red",,70,,,,,,,,,
"MH02-S-Black",0,"Teton Pullover Hoodie-S-Black",,70,,,,,,,,,
"MH02-S-Purple",0,"Teton Pullover Hoodie-S-Purple",,70,,,,,,,,,
"MH02-S-Red",0,"Teton Pullover Hoodie-S-Red",,70,,,,,,,,,
"MH02-XL-Black",0,"Teton Pullover Hoodie-XL-Black",,70,,,,,,,,,
"MH02-XL-Purple",0,"Teton Pullover Hoodie-XL-Purple",,70,,,,,,,,,
"MH02-XL-Red",0,"Teton Pullover Hoodie-XL-Red",,70,,,,,,,,,
"MH02-XS-Black",0,"Teton Pullover Hoodie-XS-Black",,70,,,,,,,,,
"MH02-XS-Purple",0,"Teton Pullover Hoodie-XS-Purple",,70,,,,,,,,,
"MH02-XS-Red",0,"Teton Pullover Hoodie-XS-Red",,70,,,,,,,,,
"MH03-L-Black",0,"Bruno Compete Hoodie-L-Black",,63,,,,,,,,,
"MH03-L-Blue",0,"Bruno Compete Hoodie-L-Blue",,63,,,,,,,,,
"MH03-L-Green",0,"Bruno Compete Hoodie-L-Green",,63,,,,,,,,,
"MH03-M-Black",0,"Bruno Compete Hoodie-M-Black",,63,,,,,,,,,
"MH03-M-Blue",0,"Bruno Compete Hoodie-M-Blue",,63,,,,,,,,,
"MH03-M-Green",0,"Bruno Compete Hoodie-M-Green",,63,,,,,,,,,
"MH03-S-Black",0,"Bruno Compete Hoodie-S-Black",,63,,,,,,,,,
"MH03-S-Blue",0,"Bruno Compete Hoodie-S-Blue",,63,,,,,,,,,
"MH03-S-Green",0,"Bruno Compete Hoodie-S-Green",,63,,,,,,,,,
"MH03-XL-Black",0,"Bruno Compete Hoodie-XL-Black",,63,,,,,,,,,
"MH03-XL-Blue",0,"Bruno Compete Hoodie-XL-Blue",,63,,,,,,,,,
"MH03-XL-Green",0,"Bruno Compete Hoodie-XL-Green",,63,,,,,,,,,
"MH03-XS-Black",0,"Bruno Compete Hoodie-XS-Black",,63,,,,,,,,,
"MH03-XS-Blue",0,"Bruno Compete Hoodie-XS-Blue",,63,,,,,,,,,
"MH03-XS-Green",0,"Bruno Compete Hoodie-XS-Green",,63,,,,,,,,,
"MH04-L-Green",0,"Frankie  Sweatshirt-L-Green",,60,,,,,,,,,
"MH04-L-White",0,"Frankie  Sweatshirt-L-White",,60,,,,,,,,,
"MH04-L-Yellow",0,"Frankie  Sweatshirt-L-Yellow",,60,,,,,,,,,
"MH04-M-Green",0,"Frankie  Sweatshirt-M-Green",,60,,,,,,,,,
"MH04-M-White",0,"Frankie  Sweatshirt-M-White",,60,,,,,,,,,
"MH04-M-Yellow",0,"Frankie  Sweatshirt-M-Yellow",,60,,,,,,,,,
"MH04-S-Green",0,"Frankie  Sweatshirt-S-Green",,60,,,,,,,,,
"MH04-S-White",0,"Frankie  Sweatshirt-S-White",,60,,,,,,,,,
"MH04-S-Yellow",0,"Frankie  Sweatshirt-S-Yellow",,60,,,,,,,,,
"MH04-XL-Green",0,"Frankie  Sweatshirt-XL-Green",,60,,,,,,,,,
"MH04-XL-White",0,"Frankie  Sweatshirt-XL-White",,60,,,,,,,,,
"MH04-XL-Yellow",0,"Frankie  Sweatshirt-XL-Yellow",,60,,,,,,,,,
"MH04-XS-Green",0,"Frankie  Sweatshirt-XS-Green",,60,,,,,,,,,
"MH04-XS-White",0,"Frankie  Sweatshirt-XS-White",,60,,,,,,,,,
"MH04-XS-Yellow",0,"Frankie  Sweatshirt-XS-Yellow",,60,,,,,,,,,
"MH05-L-Green",0,"Hollister Backyard Sweatshirt-L-Green",,52,,,,,,,,,
"MH05-L-Red",0,"Hollister Backyard Sweatshirt-L-Red",,52,,,,,,,,,
"MH05-L-White",0,"Hollister Backyard Sweatshirt-L-White",,52,,,,,,,,,
"MH05-M-Green",0,"Hollister Backyard Sweatshirt-M-Green",,52,,,,,,,,,
"MH05-M-Red",0,"Hollister Backyard Sweatshirt-M-Red",,52,,,,,,,,,
"MH05-M-White",0,"Hollister Backyard Sweatshirt-M-White",,52,,,,,,,,,
"MH05-S-Green",0,"Hollister Backyard Sweatshirt-S-Green",,52,,,,,,,,,
"MH05-S-Red",0,"Hollister Backyard Sweatshirt-S-Red",,52,,,,,,,,,
